,TMDB ID,Title,Release Date,IMDB ID,Rating,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDB Rating,IMDB Votes,Metascore,Rating Dictionary,Type,DVD Release Date,Box Office,Production
451,614376,American Heretics: The Politics of the Gospel,2019-07-12,tt9579100,N/A,N/A,Documentary,Jeanine Isabel Butler,"Catherine Lynn Butler, Jeanine Isabel Butler","Robin Meyers, Carlton Pearson, Robin Lavanhar, Lori Walke",At what other point in our history has the line between church and state become so tangled and polarizing?We've entered a time where the power of negative partisanship has sorted us along ...,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZDUyNGI0OGItMDEyYy00ZDA1LTkzZjktMWI2NzRiM2I1N2FkXkEyXkFqcGdeQXVyMzU0NzY3NjY@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
452,614305,Tattoo Uprising,2019-07-12,tt10642592,N/A,75 min,Documentary,Alan Govenar,Alan Govenar,"Don Ed Hardy, Werner Herzog, 'Calamity Jane' Nemhauser, Leonard 'Stoney' St. Clair","Tattoo Uprising is a sweeping overview of tattooing, from Biblical references and early Christian practices to the voyages of Captain James Cook and the ever-evolving image of the tattoo in the Western world.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYWM3OWEwNzUtNWU5Ni00MTk0LWI1OTEtNGVjMjk4MGU3MjliXkEyXkFqcGdeQXVyMTg1NDk2Mw@@._V1_SX300.jpg,N/A,N/A,,,movie,10 Dec 2019,N/A,First Run Features
453,612692,Creating Woodstock,2019-07-12,tt10161666,N/A,111 min,Documentary,Mick Richards,N/A,"Henry Diltz, Arlo Guthrie, Richie Havens, Artie Kornfeld","For three days in August 1969, nearly a half-million young people descended upon Max Yasgur's farm in upstate New York for the rock 'n' roll event that defined a generation. Mythologized ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYjFhZDY1MjAtZjdmNS00YWU0LThkMzEtODAwODBkN2RiY2U2XkEyXkFqcGdeQXVyMjU4MDUyNA@@._V1_SX300.jpg,6.4,5,,,movie,30 Jul 2019,N/A,Cinema Libre Studio
454,513045,Stuber,2019-07-12,tt7734218,R,93 min,"Action, Comedy, Crime, Thriller",Michael Dowse,Tripper Clancy,"Dave Bautista, Kumail Nanjiani, Mira Sorvino, Natalie Morales",A detective recruits his Uber driver into an unexpected night of adventure.,English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BOGE1ZjFhYzAtYWM4ZC00NGI1LWFmYzMtZWRhZDhjMjE4YzBjXkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_SX300.jpg,6.1,"26,134",,,movie,01 Oct 2019,N/A,20th Century Fox
455,511987,Crawl,2019-07-12,tt8364368,R,87 min,"Action, Drama, Horror, Thriller",Alexandre Aja,"Michael Rasmussen, Shawn Rasmussen","Kaya Scodelario, Barry Pepper, Morfydd Clark, Ross Anderson","A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators.",English,"USA, Serbia, Canada",2 nominations.,https://m.media-amazon.com/images/M/MV5BNTk4MTliYzgtOGI2Ni00N2I5LTg4MjktZTkzZTE0MWVjNGEyXkEyXkFqcGdeQXVyMTA3MTA4Mzgw._V1_SX300.jpg,6.2,"42,810",,,movie,24 Sep 2019,N/A,Paramount Pictures
456,644145,Mudo,2019-07-10,tt10613086,N/A,87 min,Western,Jacob Boatsman,"Jacob Boatsman, Luke Miller","Sean Draheim, Eduardo Sanchez, Drew Colven, Jackson Workman","When two inmates, Lloyd ""Bunny"" Madison and a mysterious mute, escape prison, the Warden, mayor and their film partner pursue to hunt them down. Meanwhile, a retired cop, John Grover, goes ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDM1MTg5N2QtNGQwOS00MjNhLWFiNjEtNTk4MGM1ZDMzMjc3XkEyXkFqcGdeQXVyOTUyMDA3MDY@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
457,642572,Family²,2019-07-09,tt1442437,TV-PG,22 min,"Comedy, Drama, Romance",N/A,"Steven Levitan, Christopher Lloyd","Ed O'Neill, Sofía Vergara, Julie Bowen, Ty Burrell",Three different but related families face trials and tribulations in their own uniquely comedic ways.,English,USA,Won 1 Golden Globe. Another 116 wins & 369 nominations.,https://m.media-amazon.com/images/M/MV5BNzkxZmIxY2YtODJjYS00MzIwLWIxNDQtNTliZTRlNDI0ZDRmXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_SX300.jpg,8.4,"320,831",,,series,,,
458,642921,Ingest,2019-07-06,tt9076278,N/A,3 min,"Short, Horror, Thriller",Ankur Malhotra,Ankur Malhotra,"Whitney Powell, Garrett Edell",A cultured artisan must kill their distraction in order to finish the task at hand.,English,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BZjJiM2I0NzItMDRkOS00NGUyLWI4N2YtNzM3NzFlMzg3NTQzXkEyXkFqcGdeQXVyODc3OTU3MTc@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
459,566230,Marianne & Leonard: Words of Love,2019-07-05,tt9358196,R,102 min,"Documentary, Biography, Music, Romance",Nick Broomfield,N/A,"Nick Broomfield, Marianne Ihlen, Leonard Cohen, Nancy Bacal",An in-depth look at the relationship between the late musician Leonard Cohen and his Norwegian muse Marianne Ihlen.,"English, Norwegian",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYTU2N2I4OWUtNmIxNy00YmM5LWJkYzItOWE4NTc5ODczNzUwXkEyXkFqcGdeQXVyODAzODU1NDQ@._V1_SX300.jpg,6.9,665,,,movie,01 Oct 2019,N/A,Roadside Attractions
460,611068,Phil,2019-07-05,tt5328006,R,106 min,"Comedy, Drama",Greg Kinnear,Stephen Mazur,"Greg Kinnear, Emily Mortimer, Bradley Whitford, Jay Duplass","A depressed dentist in mid life crisis tries to learn why one of his happiest patients suddenly commits suicide, and a dark comedic adventure ensues.",English,Canada,1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BZGY2MDQ4MTYtMDgxOC00NTI4LWIyYWQtNDM5MjFiMmY3NTM2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,5.5,335,,,movie,N/A,N/A,N/A
462,499227,One Nation Under God,2019-07-04,tt0107748,Not Rated,83 min,Documentary,"Teodoro Maniaci, Francine Rzeznik",N/A,"Ralph Blair, Pat Buchanan, Michael Bussee, Robert Cabaj","Focusing on the contemporary religious Right Wing proliferation of curative therapies for homosexuality, this riveting documentary offers historical context as well as a political analysis ...",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTI3NzQ1NjY5OV5BMl5BanBnXkFtZTcwNzc1NTUyMQ@@._V1_SX300.jpg,7.4,188,,,movie,08 Jun 2004,N/A,3 Z/Hourglass Productions
463,530385,Midsommar,2019-07-03,tt8772262,R,147 min,"Drama, Horror, Mystery, Thriller",Ari Aster,Ari Aster,"Florence Pugh, Jack Reynor, Vilhelm Blomgren, William Jackson Harper",A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,"English, Swedish","USA, Sweden, Hungary",11 wins & 35 nominations.,https://m.media-amazon.com/images/M/MV5BMzQxNzQzOTQwM15BMl5BanBnXkFtZTgwMDQ2NTcwODM@._V1_SX300.jpg,7.2,"98,327",,,movie,24 Sep 2019,N/A,A24
464,635726,Pulse,2019-07-03,tt0454919,PG-13,90 min,"Horror, Sci-Fi",Jim Sonzero,"Wes Craven (screenplay), Ray Wright (screenplay), Kiyoshi Kurosawa","Kristen Bell, Ian Somerhalder, Christina Milian, Rick Gonzalez","When their computer hacker friend accidentally channels a mysterious wireless signal, a group of co-eds rally to stop a terrifying evil from taking over the world.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTMyOTg5MjY1OF5BMl5BanBnXkFtZTcwNTM1ODYzMQ@@._V1_SX300.jpg,4.8,"27,418",,,movie,05 Dec 2006,"$20,230,986",The Weinstein Company
465,605702,The Cure: Anniversary 1978-2018 - Live in Hyde Park,2019-07-11,tt10407900,N/A,137 min,"Documentary, Music",Tim Pope,N/A,"Jason Cooper, Reeves Gabrels, Simon Gallup, Roger O'Donnell",English rock band The Cure honor their 40 years together with a live concert at London's Hyde Park in July 2018.,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BYmU5ODdmZTUtNzVmYS00ZWJkLThjMjgtNzg4OTg3MTc2MWQxXkEyXkFqcGdeQXVyMjQ2MTM3MDc@._V1_SX300.jpg,8.4,131,,,movie,N/A,N/A,N/A
467,232253,Soundgarden: Live From The Artists Den,2019-07-01,tt10640330,N/A,N/A,Music,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.9,8,,,movie,N/A,N/A,N/A
468,632845,Egghead & Twinkie,2019-07-01,tt9726904,N/A,10 min,"Short, Comedy",Sarah Holland,Sarah Holland,"Sabrina Jieafa, Louis Tomeo, J. Scott Browning, Kelley Mauro","Egghead is in love with his best friend, Twinkie. Twinkie is a closeted lesbian. Her parents are divorced but act like they aren't. And tonight, Twinkie is coming out in the most casual way possible.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQ2ZDNkMDEtYzIyMC00MjQ0LWEzODUtNTg2NDg2M2Y4ZDVmXkEyXkFqcGdeQXVyOTg3MTg1OTY@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
469,429617,Spider-Man: Far from Home,2019-07-02,tt6320628,PG-13,129 min,"Action, Adventure, Sci-Fi",Jon Watts,"Chris McKenna, Erik Sommers, Stan Lee (based on the Marvel comic book by), Steve Ditko (based on the Marvel comic book by)","Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","English, Italian, Czech",USA,8 wins & 13 nominations.,https://m.media-amazon.com/images/M/MV5BMGZlNTY1ZWUtYTMzNC00ZjUyLWE0MjQtMTMxN2E3ODYxMWVmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,7.6,"251,977",,,movie,17 Sep 2019,N/A,Sony Pictures
470,552871,The Last Whistle,2019-06-28,tt8318348,PG,87 min,"Drama, Sport",Rob Smat,Rob Smat,"Brad Leland, Jim O'Heir, Deanne Lauvin, Les Miles","When the all-star player of the local high school football team collapses during practice, all eyes turn to the storied head coach. Instead of mollifying the situation, the coach tries to ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZDYwYTI2MGYtOGM2NS00YWU1LWJlMzctNmRlYmIzNTFkM2E3XkEyXkFqcGdeQXVyNDM2NDAyNjA@._V1_SX300.jpg,4.8,176,,,movie,28 Jun 2019,N/A,Vertical Entertainment
471,428836,Ophelia,2019-06-28,tt5690810,PG-13,114 min,"Drama, History, Romance, Thriller, War",Claire McCarthy,"Semi Chellas (adaptation), Semi Chellas, Lisa Klein (book), Lisa Klein (novel), William Shakespeare (characters)","Daisy Ridley, George MacKay, Naomi Watts, Tom Felton","A re-imagining of Hamlet, told from Ophelia's perspective.",English,"UK, USA",3 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTU2OTAxNjI2OV5BMl5BanBnXkFtZTgwNzc2NjUwODM@._V1_SX300.jpg,6.7,"5,080",,,movie,02 Jul 2019,N/A,IFC Films
472,555748,The Other Side of Heaven 2: Fire of Faith,2019-06-28,tt8174450,PG-13,117 min,"Adventure, Biography, Drama",Mitch Davis,Mitch Davis,"Christopher Gorham, Natalie Medlock, Ben Baker, Alex Tarrant","Missionary John H. Groberg returns to Tonga in the 1960s with his wife and their five young daughters. When their sixth child is born with a serious illness, the Grobergs face their ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjIyMDJkNzYtOTlhYy00ZGQzLWI0MjctMjA3MGFmZTc0ZmQ5XkEyXkFqcGdeQXVyMTk3NDI2Njc@._V1_SX300.jpg,4.9,235,,,movie,N/A,N/A,Good Deed Entertainment
473,475220,In Fabric,2019-12-06,tt7464188,R,118 min,"Comedy, Horror",Peter Strickland,Peter Strickland,"Sidse Babett Knudsen, Marianne Jean-Baptiste, Julian Barratt, Steve Oram","In Fabric is a haunting ghost story set against the backdrop of a busy winter sales period in a department store and follows the life of a cursed dress as it passes from person to person, with devastating consequences..","English, French",UK,11 wins & 25 nominations.,https://m.media-amazon.com/images/M/MV5BMmY5YzZjMjQtMjc2NS00ZDU2LTk4MTgtZDgwZmRmM2VlZTVmXkEyXkFqcGdeQXVyMTAzNjk5MDI4._V1_SX300.jpg,6.3,"4,490",,,movie,10 Dec 2019,N/A,A24
474,512214,These Peculiar Days,2019-06-28,tt7897352,Not Rated,101 min,"Comedy, Drama, Romance",Chucho E. Quintero,Chucho E. Quintero,"Gerardo Del Razo, Sofía Sylwin, Carlos Hendrick Huber, Axel Arenas",Eight friends travel to a cabin in the woods to celebrate their high school graduation.,"Spanish, Polish",Mexico,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYThmNjBhNjEtNTRhNC00Mjk1LTliMGQtM2IxMTBhOGRmYTE0XkEyXkFqcGdeQXVyMzgxNTA0OTQ@._V1_SX300.jpg,5.8,40,,,movie,N/A,N/A,N/A
475,541577,This Changes Everything,2019-06-28,tt1870548,Not Rated,89 min,Documentary,Avi Lewis,Naomi Klein,"Naomi Klein, Stacey Arwen Raab",A look at seven communities around the world with the proposition that we can seize the crisis of climate change to transform our failed economic system into something radically better.,English,"Canada, USA",2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTk3NDMxNzczOV5BMl5BanBnXkFtZTgwNjYzOTE3NjE@._V1_SX300.jpg,6.5,479,,,movie,15 Jan 2016,"$12,700",Klein Lewis Productions
478,515195,Yesterday,2019-06-28,tt8079248,PG-13,116 min,"Comedy, Fantasy, Music, Musical, Romance",Danny Boyle,"Richard Curtis (screenplay by), Jack Barth (story by), Richard Curtis (story by)","Himesh Patel, Lily James, Sophia Di Martino, Ellise Chappell",A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate timeline where they never existed.,"English, Portuguese, Japanese","UK, Russia, China, Japan",1 win & 13 nominations.,https://m.media-amazon.com/images/M/MV5BMjQ0NTI0NjkyN15BMl5BanBnXkFtZTgwNzY0MTE0NzM@._V1_SX300.jpg,6.9,"73,351",,,movie,10 Sep 2019,N/A,Universal Pictures
479,535265,Killers Anonymous,2019-06-28,tt8400758,R,95 min,"Action, Crime, Mystery, Thriller",Martin Owen,"Seth Johnson, Elizabeth Morris, Martin Owen","Tommy Flanagan, Rhyon Nicole Brown, MyAnna Buring, Michael Socha",A support group of killers is held regularly. The participants sit in a circle of trust and share their transgressions.,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BNDc5ZDkxZDUtMDFiOC00Mjg3LWFlODEtOTViN2FlZDAwMTBjXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_SX300.jpg,5.9,"7,644",,,movie,28 Jun 2019,N/A,Lionsgate
480,521029,Annabelle Comes Home,2019-06-26,tt8350360,R,106 min,"Horror, Mystery, Thriller",Gary Dauberman,"James Wan (story by), Gary Dauberman (screenplay by)","Vera Farmiga, Patrick Wilson, Mckenna Grace, Madison Iseman","While babysitting the daughter of Ed and Lorraine Warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BYmI4NDNiMmQtZTFkYi00ZDVmLThlYTAtMWJlMjU1M2I2ZmViXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,5.9,"43,067",,,movie,17 Sep 2019,N/A,New Line Cinema
481,503742,The Mountain,2019-07-26,tt2471640,N/A,90 min,"Adventure, Drama, Thriller, War",Alper Caglar,Alper Caglar,"Caglar Ertugrul, Ufuk Bayraktar, Firat Dogruloglu, Mesut Akusta","The heroic story of two soldiers trapped in an ambush, fighting for their lives.",Turkish,Turkey,N/A,https://m.media-amazon.com/images/M/MV5BMTc0MjMyMzI1OF5BMl5BanBnXkFtZTcwMzc2NjM4OA@@._V1_SX300.jpg,7.9,"17,996",,,movie,N/A,N/A,N/A
482,607181,Kinky Boots: The Musical,2019-06-25,tt10442108,N/A,135 min,Musical,"Jerry Mitchell, Brett Sullivan",Harvey Fierstein (book),"Matt Henry, Killian Donnelly, Natalie McQueen, Sean Needham","A filmed version of the popular stage musical, in which a feisty drag queen attempts to rescue a shoe factory by designing fabulous and fetishistic footwear.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMWZhNjcwNTYtNzM4Yi00MWQ0LWEyYjEtOWVkYTUxMTdkNzlhXkEyXkFqcGdeQXVyMjg3NTY4Nw@@._V1_SX300.jpg,7.9,132,,,movie,N/A,N/A,N/A
483,549895,In This Gray Place,2019-06-25,tt6269434,N/A,101 min,"Drama, Romance, Thriller",R.D. Womack II,R.D. Womack II,"Aleksander Ristic, Marcus Johns, Angela Nordeng, Phil LaMarr","After a robbery gone wrong, Aaron - barricaded in a rest stop bathroom - faces down the police, hallucinations, and a grim secret.",English,USA,14 wins & 30 nominations.,https://m.media-amazon.com/images/M/MV5BNzBkODVkZmYtN2ZmYy00M2ExLTkxZmQtNzRjNDE1MmYwNDZkXkEyXkFqcGdeQXVyNzA2MDM5NDE@._V1_SX300.jpg,6.8,"3,057",,,movie,25 Jun 2019,N/A,N/A
484,613476,Saving Jaws,2019-06-24,tt5225488,N/A,58 min,Documentary,Brando Keoni TeTawa Bowthorpe,Brando Keoni TeTawa Bowthorpe,"Ocean Ramsey, Juan Oliphant, Mike Coots, Clark Little","OCEAN RAMSEY attributes her unparalleled connection with sharks to over a decade of research, but many are convinced it is something more... The media has dubbed her ""The Shark Whisperer"". ...",English,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZjFkNzY4NjQtZjYyNC00NWIwLWI2YTUtNzEwMzVlOGZmNjEzXkEyXkFqcGdeQXVyMzUyNzIzODk@._V1_SX300.jpg,6.4,45,,,movie,N/A,N/A,N/A
485,611902,Chameleon,2019-06-22,tt1134828,NOT RATED,108 min,"Comedy, Drama, Thriller",Krisztina Goda,"Réka Divinyi (screenplay), Krisztina Goda (screenplay)","Ervin Nagy, Gabriella Hámori, Zsolt Trill, János Kulka","While cleaning offices at night, George learns a lot about the employees by examining what they leave behind, carefully choosing his targets, always disillusioned women whom he seduces, ...","Hungarian, Spanish, English",Hungary,N/A,https://m.media-amazon.com/images/M/MV5BMTkxMTczMzk0Nl5BMl5BanBnXkFtZTgwODA2Mjc2MTE@._V1_SX300.jpg,7.4,"1,775",,,movie,N/A,N/A,N/A
486,636857,Ceremony night,2019-06-22,tt8946710,N/A,15 min,"Short, Crime",Behnam Abedi,Behnam Abedi,"Amir Ahmad Ghazvini, Navid Noori, Pezhman Yavari","An hour before a funfair is opened, a worker falls to his death down the big wheel, and the other workers are forced to keep silent and continue the opening ceremony.",Persian,Iran,N/A,https://m.media-amazon.com/images/M/MV5BNzMzNjI0MTMtMmY5Yi00MjdhLWE3ZjMtN2ZlYjMwYzg1NWVhXkEyXkFqcGdeQXVyMjM5ODg5Njc@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
488,530079,Ride Your Wave,2020-02-19,tt9193612,N/A,94 min,"Animation, Comedy, Romance",Masaaki Yuasa,Reiko Yoshida,"Ryôta Katayose, Rina Kawaei, Honoka Matsumoto, Kentarô Itô",A surfer and firefighter meet and fall in love.,Japanese,Japan,2 wins.,https://m.media-amazon.com/images/M/MV5BMWE0NjdiMTAtMzY3My00NzUxLTljMDMtNmYxNmRiYmQxZmM0XkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_SX300.jpg,6.9,218,,,movie,N/A,N/A,Fuji Creative Corporation
489,588224,The Quiet One,2019-06-21,tt0040717,N/A,65 min,"Documentary, Drama",Sidney Meyers,James Agee (commentary and dialogue),"Gary Merrill, Donald Thompson, Clarence Cooper, Sadie Stockton","A documentary account of the rehabilitation at the Wiltwyck School of an emotionally disturbed Black boy who is unwanted, misunderstood, and inwardly tortured.",English,USA,Nominated for 2 Oscars. Another 2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTkwMDg1ODExMV5BMl5BanBnXkFtZTgwNTQ3MTQxOTE@._V1_SX300.jpg,6.8,171,,,movie,30 Oct 2007,N/A,Film Documents
490,352504,Burn Your Maps,2019-06-21,tt4882548,PG-13,102 min,Adventure,Jordan Roberts,"Jordan Roberts (screenplay by), Robyn Joy Leff (based on the short story by)","Jacob Tremblay, Vera Farmiga, Jason Scott Lee, Virginia Madsen","A family in emotional turmoil is taken by surprise in this quirky adventure where an eccentric 8-year-old American boy, Wes, has an existential epiphany - He believes that he is in fact a ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTJjYjRlMjAtNDg0MC00M2U0LTkyNzItOWU1YmFlMTU0MDdmXkEyXkFqcGdeQXVyMjU3NTI0Mg@@._V1_SX300.jpg,6.6,819,,,movie,21 Jun 2019,N/A,Vertical Entertainment
491,606405,Round of Your Life,2019-06-21,tt5190578,N/A,91 min,"Family, Sport",Dylan Thomas Ellis,Tim Ogletree,"Cole Allen, Ximena Alvarez, Suhail Arastu, Marina Arellano","Fifteen year-old Taylor Collins is a golf legacy. The son of a PGA veteran, the younger brother of a PGA rookie, he has all the talent in the world-but wants nothing to do with golf or the ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzNmZGY5OTktYjcyOC00ZGRhLTg0M2UtYzYwNTY5MDAyNGRkXkEyXkFqcGdeQXVyNjk2MjA4MDY@._V1_SX300.jpg,4.6,86,,,movie,N/A,N/A,Ammo Content
492,480100,Nightmare Cinema,2019-06-21,tt7349910,R,119 min,Horror,"Alejandro Brugués, Joe Dante, Mick Garris, Ryûhei Kitamura, David Slade","Sandra Becerril, Alejandro Brugués, Lawrence C. Connolly, Mick Garris, Richard Christian Matheson, David Slade","Mickey Rourke, Richard Chamberlain, Adam Godley, Orson Chaplin","Five strangers converge at a haunted movie theater owned by The Projectionist (Mickey Rourke). Once inside, the audience members witness a series of screenings showing them their deepest fears and darkest secrets over five tales.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNTk2NGE1YjItZWYyNS00YmJiLWJlNjgtYTJlMTQyNTg1MzZjXkEyXkFqcGdeQXVyMTI4Mjg4MjA@._V1_SX300.jpg,5.4,"2,388",,,movie,21 Jun 2019,N/A,Cranked Up Productions
493,631782,What Do You Know About the Water and the Moon,2019-06-21,tt9818170,N/A,16 min,"Short, Fantasy",Jian Luo,Jian Luo,Yang Wang,"During an abortion, instead of aborting the fetus, a girl gives birth to a live jellyfish.",Chinese,China,N/A,https://m.media-amazon.com/images/M/MV5BMTIxMWNhZTMtZTIxNy00YjFjLWI1ODUtMWY2MzViMjVhZDQzXkEyXkFqcGdeQXVyMzc5NDc4OTA@._V1_SX300.jpg,7.1,7,,,movie,N/A,N/A,N/A
494,629253,Hopelessly Ever After,2019-06-21,tt6205994,N/A,N/A,N/A,Russ McCullough,N/A,"Tim Colceri, Russ McCullough, Joe Urbanek",Three men travel to the Philippines to search for the love of their lives. But find that their lives are not important to the woman they find.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYTkyYmRmM2ItNWQyYS00OWI4LWIxNzMtZTczZGE5ZDcxYmQ4XkEyXkFqcGdeQXVyNzkwNzk3MDA@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
495,517148,Beanpole,2020-01-29,tt10199640,N/A,130 min,"Drama, War",Kantemir Balagov,"Kantemir Balagov, Aleksandr Terekhov","Viktoria Miroshnichenko, Vasilisa Perelygina, Andrey Bykov, Igor Shirokov","1945, Leningrad. WWII has devastated the city, demolishing its buildings and leaving its citizens in tatters, physically and mentally. Two young women search for meaning and hope in the struggle to rebuild their lives amongst the ruins.",Russian,Russia,15 wins & 15 nominations.,https://m.media-amazon.com/images/M/MV5BZDcxZDU1NWEtMDU4NC00ZTJmLWE1NWUtM2Y2ZjEyZjliZTUzXkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_SX300.jpg,7.2,"2,282",,,movie,N/A,N/A,N/A
496,634765,Right Livelihood: A Journey to Here,2019-06-20,tt10129036,PG-13,N/A,"Documentary, Short",Tricia Brouk,N/A,Justin Von Bujdoss,"On Rikers Island, one of the toughest prison's in the country, Buddhist Chaplain Justin Von Bujdoss is changing the culture around spiritual care, and teaching meditation to the Correction Officers while also holding space for the inmates.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMWQzYjIzYWItNmIzZC00ZjY2LWFlZmYtM2I0MjJmYjE3ZjBjXkEyXkFqcGdeQXVyNzQwMzA2MA@@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
497,634759,Kamali,2019-06-20,tt8999660,N/A,24 min,"Documentary, Short",Sasha Rainbow,N/A,N/A,A single mother fights for her daughter's empowerment in India through skateboarding.,Tamil,"UK, India",N/A,https://m.media-amazon.com/images/M/MV5BZDQ2MTE5ZTMtYzA5Zi00YjA2LWFjOTItZGY4MmI5Y2MwZTA5XkEyXkFqcGdeQXVyNTk4ODU0MjY@._V1_SX300.jpg,9.6,16,,,movie,N/A,N/A,N/A
498,630925,Down's Revenge,2019-06-20,tt8036910,N/A,108 min,"Action, Drama, Horror",Lekhraj Patel,"David Y. Duncan (cowriter), Lekhraj Patel","Krishna Karishma, John Savage, Gabriela Alvarez, Mike Benitez",A revenge of a mentally challenged teenager whose death occurs from school bullying.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYWJlOGY5M2MtOWY3My00ZDE5LWExYzktOTFiY2RkZmFmODcwXkEyXkFqcGdeQXVyMjQxMTQzNjg@._V1_SX300.jpg,3.0,16,,,movie,N/A,N/A,N/A
499,621851,Matsutake Hunters,2019-06-20,tt8969966,N/A,19 min,"Documentary, Short",Shannon Walsh,Shannon Walsh,"George Samson, Hermann Schönbächler","The Japanese matsutake mushroom flourishes in formerly logged, second-growth forests, creating a unique human and non-human ecosystem and economy in northern British Columbia.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BZDY0NmQ4OWMtY2EyMi00ZTVmLTgxNDAtYjQxYmUyZThlMGZmXkEyXkFqcGdeQXVyNjI2OTM0NzY@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
500,626362,Inferno,2019-06-19,tt3062096,PG-13,121 min,"Action, Crime, Drama, Mystery, Thriller",Ron Howard,"Dan Brown (based in part on the novel by), David Koepp (screenplay by)","Tom Hanks, Felicity Jones, Omar Sy, Irrfan Khan","When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.","English, French, Italian, Turkish","USA, Hungary",4 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTUzNTE2NTkzMV5BMl5BanBnXkFtZTgwMDAzOTUyMDI@._V1_SX300.jpg,6.2,"145,584",,,movie,24 Jan 2017,"$34,307,024",Sony Pictures
